datetime,iso_year,iso_week,total_population,total_cases_formula,inc_per_10k,temp_mean,temp_max,temp_min,rh_mean,rh_max,rh_min
2014-07-21,2014,30,5028000,0.0,0.0,22.254166666666666,29.8,14.0,63.529761904761905,97,36
2014-07-28,2014,31,5028000,0.0,0.0,23.175,30.4,16.7,69.0297619047619,98,30
2014-08-04,2014,32,5028000,0.0,0.0,22.90297619047619,29.6,16.4,64.4702380952381,98,30
2014-08-11,2014,33,5028000,0.0,0.0,18.470238095238095,27.7,13.3,77.82142857142857,98,42
2014-08-18,2014,34,5028000,0.0,0.0,15.706547619047617,21.0,11.7,73.58928571428571,98,47
2014-08-25,2014,35,5028000,0.0,0.0,12.660714285714286,17.6,8.4,88.81547619047619,99,69
2014-09-01,2014,36,5028000,0.0,0.0,13.863095238095237,19.1,8.6,81.92857142857143,100,59
2014-09-08,2014,37,5028000,0.0,0.0,14.972619047619048,22.3,9.0,82.41071428571429,100,53
2014-09-15,2014,38,5028000,0.0,0.0,11.976190476190476,18.2,6.0,78.875,100,46
2014-09-22,2014,39,5028000,0.0,0.0,9.923214285714286,14.8,4.0,76.97619047619048,100,47
2014-09-29,2014,40,5028000,0.0,0.0,7.9678571428571425,14.4,1.4,79.44642857142857,100,53
2014-10-06,2014,41,5028000,0.0,0.0,8.181547619047619,12.9,1.8,84.61904761904762,99,52
2014-10-13,2014,42,5028000,0.0,0.0,3.1321428571428576,9.7,-2.4,81.56547619047619,98,53
2014-10-20,2014,43,5028000,0.0,0.0,-1.1208333333333333,2.4,-6.9,72.41071428571429,99,47
2014-10-27,2014,44,5028000,0.0,0.0,4.938690476190477,10.8,-3.5,83.83928571428571,98,39
2014-11-03,2014,45,5028000,0.0,0.0,4.191071428571429,8.9,0.7,91.81547619047619,100,68
2014-11-10,2014,46,5028000,0.0,0.0,3.1964285714285716,8.3,-2.5,91.28571428571429,100,76
2014-11-17,2014,47,5028000,0.0,0.0,-3.2720238095238097,0.5,-6.7,90.02380952380952,98,78
2014-11-24,2014,48,5028000,0.0,0.0,-3.2779761904761906,-0.3,-8.9,81.76785714285714,98,66
2014-12-01,2014,49,5028000,557.0,1.1077963404932378,-0.4398809523809523,3.7,-5.2,90.83333333333333,100,76
2014-12-08,2014,50,5028000,0.0,0.0,0.35119047619047616,2.2,-1.1,85.89880952380952,98,72
2014-12-15,2014,51,5028000,815.0,1.6209228321400158,0.6738095238095239,3.0,-1.9,92.48809523809524,99,81
2014-12-22,2014,52,5028000,3920.0,7.796340493237868,-6.130357142857143,-1.8,-10.9,87.27380952380952,95,81
2014-12-29,2015,1,5131942,1023.0,1.99339743122584,-3.0220238095238097,3.4,-12.4,89.4702380952381,99,68
2015-01-05,2015,2,5131942,439.0,0.8554266591477456,-6.061904761904762,0.4,-14.5,84.45238095238095,99,67
2015-01-12,2015,3,5131942,11260.0,21.941011804108463,-0.9321428571428572,2.6,-9.3,89.95833333333333,97,81
2015-01-19,2015,4,5131942,13798.0,26.886508070434157,-9.382142857142858,0.7,-21.3,87.57142857142857,98,76
2015-01-26,2015,5,5131942,20188.0,39.337934840261255,-2.0595238095238093,2.2,-7.2,90.70238095238095,97,83
2015-02-02,2015,6,5131942,20079.0,39.12553961054119,-3.3113095238095234,0.6,-9.1,89.38690476190476,99,77
2015-02-09,2015,7,5131942,24087.0,46.93544860795387,-3.0083333333333333,2.7,-14.1,86.41666666666667,97,72
2015-02-16,2015,8,5131942,29118.0,56.73875503659239,-3.0696428571428576,3.1,-18.5,83.63095238095238,97,58
2015-02-23,2015,9,5131942,22187.0,43.23314643852172,0.8505952380952382,3.6,-1.9,93.05357142857143,100,74
2015-03-02,2015,10,5131942,21493.0,41.88083185663439,1.1982142857142857,7.4,-5.2,87.41071428571429,96,62
2015-03-09,2015,11,5131942,9675.0,18.852512362766376,1.5035714285714286,6.9,-4.5,76.9047619047619,99,44
2015-03-16,2015,12,5131942,11900.0,23.188103061180342,0.7160714285714286,10.1,-5.7,66.41071428571429,93,26
2015-03-23,2015,13,5131942,8101.0,15.785447302405212,1.3958333333333333,9.1,-4.5,64.85714285714286,93,30
2015-03-30,2015,14,5131942,5217.0,10.16574232522503,2.6404761904761904,8.2,-0.9,82.64880952380952,100,56
2015-04-06,2015,15,5131942,7027.0,13.692672286631456,4.942261904761905,18.1,-0.7,68.4047619047619,99,42
2015-04-13,2015,16,5131942,6526.0,12.71643366195487,2.8833333333333333,9.3,-1.7,80.39285714285714,99,48
2015-04-20,2015,17,5131942,2631.0,5.126714214618949,4.170238095238095,10.5,-1.2,76.14880952380952,100,41
2015-04-27,2015,18,5131942,5455.0,10.62950438644864,8.248809523809523,19.6,2.6,78.4047619047619,100,37
2015-05-04,2015,19,5131942,1895.0,3.6925592689862814,10.498214285714287,19.6,2.4,67.44047619047619,99,37
2015-05-11,2015,20,5131942,1361.0,2.652017501366929,9.801190476190476,16.7,3.8,70.8452380952381,98,42
2015-05-18,2015,21,5131942,1160.0,2.2603529034427905,10.02202380952381,19.6,2.6,79.9047619047619,99,40
2015-05-25,2015,22,5131942,2569.0,5.005902249090111,13.495238095238093,21.6,5.5,73.81547619047619,99,38
